XC01EG01	XC01	EG01	Oil	92.2	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED02	XC01	ED02	Coal	24.02465753	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EG03	XC01	EG03	Oil	92.2	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED04	XC01	ED04	Coal	24.02465753	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EG05	XC01	EG05	NG	50.24	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EG06	XC01	EG06	NG	47.04	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EG07	XC01	EG07	NG	47.04	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED08	XC01	ED08	Coal	24.02465753	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED09	XC01	ED09	Coal	24.02465753	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EU10	XC01	EU10	Nuc	10.01027397	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EU11	XC01	EU11	Nuc	10.01027397	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED12	XC01	ED12	Coal	24.02465753	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED13	XC01	ED13	Coal	20.02054795	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01ED14	XC01	ED14	Coal	20.02054795	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
XC01EW15	XC01	EW15	Wind	0	1	0	Inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0   0
